input,target
PVC trien khai nhieu cong trinh xay dung lon.,PVC triển khai nhiều công trình xây dựng lớn.
"Dieu tra vu vo hui hang ti dong o Nam Can, Ca Mau.","Điều tra vụ vỡ hụi hàng tỉ đồng ở Năm Căn, Cà Mau."
"Trong do, ne nep quy che lam viec tot hon, de xuat to chuc thuc hien sang kien nhieu hon, va dac biet la tao khong gian sang tao nhieu hon.","Trong đó, nề nếp quy chế làm việc tốt hơn, đề xuất tổ chức thực hiện sáng kiến nhiều hơn, và đặc biệt là tạo không gian sáng tạo nhiều hơn."
"Chung toi se xem xet tung bao cao mot cach nghiem tuc"". ""Khong co gi quan trong hon su an toan cua hanh khach.","Chúng tôi sẽ xem xét từng báo cáo một cách nghiêm túc"". ""Không có gì quan trọng hơn sự an toàn của hành khách."
Nu Thu khoa Hoc vien Canh sat Nhan dan dat tong diem cao nhat nuoc.,Nữ Thủ khoa Học viện Cảnh sát Nhân dân đạt tổng điểm cao nhất nước.
Can tra lai ngay hy sinh cho anh hung Nguyen Trung Truc.,Cần trả lại ngày hy sinh cho anh hùng Nguyễn Trung Trực.
Luat su de nghi Toa tuyen Bui Tien Dung vo toi.,Luật sư đề nghị Tòa tuyên Bùi Tiến Dũng vô tội.
Nha thau khoan Biet dong Sai Gon (ky 1).,Nhà thầu khoán Biệt động Sài Gòn (kỳ 1).
Nganh dieu dat muc tang nang suat.,Ngành điều đặt mục tăng năng suất.
Benzema danh ca mua he de... tan gai.,Benzema dành cả mùa hè để... tán gái.
"Voi anh Tan, bo pho giong nhu roi noi an toan de di vao chien truong.","Với anh Tân, bỏ phố giống như rời nơi an toàn để đi vào chiến trường."
Nham chan gameshow truyen hinh.,Nhàm chán gameshow truyền hình.
Cau thanh cong o 1/3 cau va tro ve voi 185 diem.,Cậu thành công ở 1/3 câu và trở về với 185 điểm.
Sap co iPhone chay bang hydro.,Sắp có iPhone chạy bằng hydro.
"Quang Ninh: 86,1% truong co nhan vien y te dat chuan ve chuyen mon.","Quảng Ninh: 86,1% trường có nhân viên y tế đạt chuẩn về chuyên môn."
Mat mang vi thuoc giam beo.,Mất mạng vì thuốc giảm béo.
Moi chui nua ha ????con nay chac tam than kg on chua gi,Mới chửi nữa hả ???? con này chắc tâm thần không ổn chứ gì
"Khu nghi duong cung nhan duoc danh gia xuat sac cua cac du khach voi diem 9,5/10.","Khu nghỉ dưỡng cũng nhận được đánh giá xuất sắc của các du khách với điểm 9,5/10."
'Xe hop' van chuyen 140 banh heroin.,'Xế hộp' vận chuyển 140 bánh heroin.
Nissan ra mat phien ban Nissan NAVARA XE.,Nissan ra mắt phiên bản Nissan NAVARA XE.
Co quan chong tham nhung phai doc lap voi Chinh phu.,Cơ quan chống tham nhũng phải độc lập với Chính phủ.
Bua sang kieu Tay voi thit xong khoi cuon banh mi va pho mai.,Bữa sáng kiểu Tây với thịt xông khói cuộn bánh mì và phô mai.
Xuat hien benh an doi pho?.,Xuất hiện bệnh án đối phó?.
"Ngay 30/6/2021, tai ky hop thu nhat HDND tinh Bac Lieu khoa X nhiem ky 2021-2026, ba Van tai cu Pho Chu tich UBND tinh Bac Lieu.","Ngày 30/6/2021, tại kỳ họp thứ nhất HĐND tỉnh Bạc Liêu khóa X nhiệm kỳ 2021-2026, bà Vân tái cử Phó Chủ tịch UBND tỉnh Bạc Liêu."
May bay Boeing 777 cho 300 nguoi ha canh bi gay roi duoi.,Máy bay Boeing 777 chở 300 người hạ cánh bị gãy rời đuôi.
Hameco: Di doi co so san xuat ra khoi khu vuc noi thanh.,Hameco: Di dời cơ sở sản xuất ra khỏi khu vực nội thành.
Bat giu mot doi tuong moi gioi tien ao Bitcoin bi My truy na.,Bắt giữ một đối tượng môi giới tiền ảo Bitcoin bị Mỹ truy nã.
Tay Ninh: Nhieu hoat dong tham duom nghia tinh.,Tây Ninh: Nhiều hoạt động thắm đượm nghĩa tình.
"Dap an chinh thuc cac mon khoi A, A1.","Đáp án chính thức các môn khối A, A1."
"Day manh trien khai cac chinh sach tin dung phuc vu phat trien nong nghiep, nong thon va cac chinh sach tin dung ho tro de phat trien co gioi hoa nong nghiep va che bien nong san, phat trien cac mo hinh trung tam, cum lien ket san xuat - che bien, bao quan - tieu thu nong san gan voi cac vung nguyen lieu tap trung.","Đẩy mạnh triển khai các chính sách tín dụng phục vụ phát triển nông nghiệp, nông thôn và các chính sách tín dụng hỗ trợ để phát triển cơ giới hóa nông nghiệp và chế biến nông sản, phát triển các mô hình trung tâm, cụm liên kết sản xuất - chế biến, bảo quản - tiêu thụ nông sản gắn với các vùng nguyên liệu tập trung."
"HOT: Ho Vinh Khoa khoa moi, trao nhan cho ban trai sieu mau trong dam cuoi tai My.","HOT: Hồ Vĩnh Khoa khóa môi, trao nhẫn cho bạn trai siêu mẫu trong đám cưới tại Mỹ."
"Thuy chua biet tuong lai se the nao nhung chac chan neu Thuy lua chon lan san sang con duong ca hat thi Thuy se co gang het suc co the, lam ra nhung san pham chin chu nhat phuc vu khan gia"". Hai Dang Doo chia se ky niem nua dem bi doi truong goi day, Tung Min doc suc chuan bi cho dem chung ket Chang em ut cua Troi sinh mot cap khong chi khien cac anh chi luon quan tam, cham soc ma con la mot trong nhung thi sinh tai nang va nhan duoc nhieu su ky vong.","Thùy chưa biết tương lai sẽ thế nào nhưng chắc chắn nếu Thùy lựa chọn lấn sân sang con đường ca hát thì Thùy sẽ cố gắng hết sức có thể, làm ra những sản phẩm chỉn chu nhất phục vụ khán giả"". Hải Đăng Doo chia sẻ kỷ niệm nửa đêm bị đội trưởng gọi dậy, Tùng Min dốc sức chuẩn bị cho đêm chung kết Chàng em út của Trời sinh một cặp không chỉ khiến các anh chị luôn quan tâm, chăm sóc mà còn là một trong những thí sinh tài năng và nhận được nhiều sự kỳ vọng."
Alphabet vuot Apple de tro thanh cong ty co gia tri von hoa lon nhat the gioi.,Alphabet vượt Apple để trở thành công ty có giá trị vốn hóa lớn nhất thế giới.
Ra lenh bao ve hoac tim dien thoai mat bang tin nhan SMS.,Ra lệnh bảo vệ hoặc tìm điện thoại mất bằng tin nhắn SMS.
Ho cung 4 lan ket thuc mua giai trong top 6.,Họ cũng 4 lần kết thúc mùa giải trong top 6.
De nong dan khong bo GAP!.,Để nông dân không bỏ GAP!.
HLV Nguyen Minh Phuong: 'Long An khong buong xuoi tren san Vinh'.,HLV Nguyễn Minh Phương: 'Long An không buông xuôi trên sân Vinh'.
Hon 10 nam moi ra duoc phan quyet.,Hơn 10 năm mới ra được phán quyết.
Dinh duong cho nguoi benh mac ung thu amidan.,Dinh dưỡng cho người bệnh mắc ung thư amidan.
Google Android se hien dien tren smartphone HTC.,Google Android sẽ hiện diện trên smartphone HTC.
"Khi dua cho ra noi cong cong, noi dong dan cu, khu do thi phai nhot, giu cho trong chuong, cui hoac phai ro mom, xich va co nguoi dat.","Khi đưa chó ra nơi công cộng, nơi đông dân cư, khu đô thị phải nhốt, giữ chó trong chuồng, cũi hoặc phải rọ mõm, xích và có người dắt."
"Di bai quyen qua chuan, hao kingfu","Đi bài quyền quá chuẩn, hảo kungfu"
Choang vang truoc su that ve nam sinh toi nha tho.,Choáng váng trước sự thật về nam sinh tới nhà thổ.
Thai Binh vs Lien Quan: Con dau ngay xua ay!.,Thái Bình vs Liên Quân: Còn đâu ngày xưa ấy!.
Luan phien lam can bo tu quan lop: Co hoi de tre ren luyen ky nang song.,Luân phiên làm cán bộ tự quản lớp: Cơ hội để trẻ rèn luyện kỹ năng sống.
Hoi nghi thuong dinh G20: Duc toc bat dat.,Hội nghị thượng đỉnh G20: Dục tốc bất đạt.
Hay do ho de dai trong viec lua chon nguoi yeu va len giuong de dang voi nhung nguoi khac?,Hay do họ dễ dãi trong việc lựa chọn người yêu và lên giường dễ dàng với những người khác?
Cho nen Ton Quyen at phai co nghia vu truy phong anh trai lam Hoang de.,Cho nên Tôn Quyền ắt phải có nghĩa vụ truy phong anh trai làm Hoàng đế.
"Di qua nhung tac pham tich hop am nhac, trinh dien va sap dat cua Muzik Exhibition se la Live Concert ""Mua he vinh cuu"", do Hoang Rob trinh dien cung cac nghe si khach moi du kien nhu Bui Lan Huong, Hoang Dung, nghe si mua Linh Nga… Sau 6 nam hoat dong am nhac voi 3 album va 4 concert, Hoang Rob dang la nghe si violin duong dai duy nhat o Viet Nam no luc va ben bi theo duoi con duong violin giao thoa cung cac nghe si va cac loai hinh nghe thuat dai chung.","Đi qua những tác phẩm tích hợp âm nhạc, trình diễn và sắp đặt của Muzik Exhibition sẽ là Live Concert ""Mùa hè vĩnh cửu"", do Hoàng Rob trình diễn cùng các nghệ sĩ khách mời dự kiến như Bùi Lan Hương, Hoàng Dũng, nghệ sĩ múa Linh Nga… Sau 6 năm hoạt động âm nhạc với 3 album và 4 concert, Hoàng Rob đang là nghệ sĩ violin đương đại duy nhất ở Việt Nam nỗ lực và bền bỉ theo đuổi con đường violin giao thoa cùng các nghệ sĩ và các loại hình nghệ thuật đại chúng."
"Vo cu cua Lee Jae Yong yeu thich cac thiet ke dat do tu Chanel, Burberry... Cac mon do ma co su dung duoc dan Han quan tam va tich cuc tim mua.","Vợ cũ của Lee Jae Yong yêu thích các thiết kế đắt đỏ từ Chanel, Burberry... Các món đồ mà cô sử dụng được dân Hàn quan tâm và tích cực tìm mua."
Sap to chuc Ngay hoi Tan sinh vien 2011.,Sắp tổ chức Ngày hội Tân sinh viên 2011.
Them 6 cong ty san HOSE thong bao hop DHDCD 2010.,Thêm 6 công ty sàn HOSE thông báo họp ĐHĐCĐ 2010.
"Phat hien hon 1 tan chan ga, noi tang.","Phát hiện hơn 1 tấn chân gà, nội tạng."
