a	anh
ace	anh chị em
add	kết bạn
ae	anh em
afk	rời bàn phím
ah	à
ak	à
atrai	anh trai
atsm	ảo tưởng sức mạnh
aye	anh yêu em
baoh	bao giờ
bbè	bạn bè
bf	bạn trai
bgái	bạn gái
biet	biết
bik	biết
biêt	biết
bme	bố mẹ
bn	bạn
bnhiu	bao nhiêu
bnhiêu	bao nhiêu
bsvv	buổi sáng vui vẻ
bsĩ	bác sĩ
bth	bình thường
bthường	bình thường
btrai	bạn trai
btw	nhân tiện
buôg	buông
bìh	bình
bóg	bóng
bằg	bằng
c	chị
cbị	chuẩn bị
ce	chị em
cgai	con gái
cgái	con gái
chk	chồng
chs	chẳng hiểu sao
chta	chúng ta
chug	chung
chuện	chuyện
chàg	chàng
chúg	chúng
chăg	chăng
cj	chị
ck	chồng
cka	cha
clmm	cái lồn mẹ mày
cmm	con mẹ mày
cmn	con mẹ nó
cmnd	chứng minh nhân dân
cmnr	con mẹ nó rồi
cmày	chúng mày
crush	người mình thích
csong	cuộc sống
csống	cuộc sống
cta	chúng ta
ctr	chương trình
ctrai	con trai
ctraj	con trai
ctrinh	chương trình
ctrình	chương trình
cty	công ty
ctác	công tác
cv	công việc
cviec	công việc
cx	cũng
càg	càng
cùg	cùng
cđời	cuộc đời
cũg	cũng
cũng z	cũng vậy
dc	được
del	xóa
dky	đăng ký
dl	dữ liệu
dm	địt mẹ
dmk	địt mẹ
dthương	dễ thương
dz	đẹp trai
dzậy	dậy
dàh	dành
dòg	dòng
dừg	dừng
e	em
eya	em yêu anh
fl	theo dõi
fol	theo dõi
fải	phải
gf	bạn gái
giốg	giống
gr	nhóm
gđ	gia đình
gđình	gia đinh
gắg	gắng
hahah	ha ha
haj	hai
hajz	hai
hajzz	hai
hc	học
hkì	học kỳ
hnay	hôm nay
hok	không
hoy	thôi
hphúc	hạnh phúc
hqua	hôm qua
hsơ	hồ sơ
htrc	hôm trước
hìh	hình
hôg	không
hđộng	hành động
họk	học
ik	ý
iu	yêu
j	gì
ji	gì
jo	giờ
júp	giúp
k	không
kbiet	không biết
kh	không
khg	không
khoảg	khoảng
khôg	không
kih	kinh
klq	không liên quan
ko	không
kqua	kết quả
ksao	không sao
kte	kinh tế
ktra	kiểm tra
ku	cu
kái	cái
kêh	kênh
kòn	còn
kô	không
kũg	cũng
kảm	cảm
kậu	cậu
kủa	của
lgi	làm gì
llac	liên lạc
lm	làm
lmht	liên minh huyền thoại
lol	lồn
loz	lồn
lozz	lồn
lquan	liên quan
lquen	làm quen
ltinh	linh tinh
lz	làm gì
lzi	làm gì
lòg	lòng
lúk	lúc
lạh	lạnh
lặg	lặng
mih	mình
